CPU Name ,"CPU Mark
","Rank
"
AMD Ryzen Threadripper PRO 9995WX,"176,418",1
AMD EPYC 9755,"166,328",2
AMD EPYC Embedded 9755,"164,010",3
AMD EPYC 9965,"160,778",4
AMD EPYC 9655P,"160,417",5
AMD EPYC 9B45,"158,790",6
AMD Ryzen Threadripper PRO 9985WX,"156,223",7
AMD EPYC 9655,"156,110",8
AMD EPYC 9845,"152,985",9
AMD EPYC 9575F,"150,282",10
AMD Ryzen Threadripper 9980X,"149,979",11
AMD Ryzen Threadripper PRO 7995WX,"144,693",12
AMD Ryzen Threadripper 7980X,"136,370",13
AMD EPYC 9555P,"135,513",14
AMD EPYC 9565,"135,221",15
AMD Ryzen Threadripper PRO 7985WX,"133,503",16
AMD EPYC 9745,"130,698",17
AMD EPYC 9B14,"126,653",18
AMD EPYC 9J14,"124,637",19
AMD EPYC 9684X,"122,017",20
AMD EPYC 9654,"119,618",21
AMD EPYC 9V74,"117,606",22
AMD EPYC 9455P,"116,713",23
AMD EPYC 9R14,"116,475",24
AMD EPYC 9654P,"116,324",25
AMD Ryzen Threadripper 9970X,"112,337",26
AMD Ryzen Threadripper PRO 9975WX,"110,063",27
AMD EPYC 9554,"108,773",28
AMD EPYC 9634,"107,944",29
AMD EPYC 9554P,"105,283",30
Intel Xeon w9-3595X,"102,934",31
AMD EPYC 9734,"102,286",32
AMD EPYC 9474F,"102,107",33
Intel Xeon 6741P,"100,660",34
AMD Ryzen Threadripper 7970X,"98,967",35
AMD EPYC 9754,"98,752",36
AMD EPYC 9355P,"97,255",37
AMD Ryzen Threadripper PRO 7975WX,"96,230",38
AMD EPYC 9375F,"95,768",39
AMD Ryzen Threadripper PRO 5995WX,"95,344",40
AMD Ryzen Threadripper PRO 9965WX,"94,721",41
AMD EPYC 9454P,"94,623",42
AMD Ryzen Threadripper 9960X 24-Cores,"92,929",43
AMD EPYC 7773X,"91,340",44
Intel Xeon w9-3495X,"91,337",45
Intel Xeon Platinum 8470 @2.00GHz,"89,850",46
AMD EPYC 9534,"89,077",47
Intel Xeon Platinum 8488C,"88,667",48
AMD EPYC 9454,"86,324",49
AMD EPYC 7J13,"84,786",50
AMD EPYC 9275F,"84,620",51
AMD EPYC 7763,"84,591",52
Intel Xeon Max 9480,"84,512",53
Intel Xeon Platinum 8592+,"84,013",54
AMD Ryzen Threadripper PRO 3995WX,"83,928",55
AMD Ryzen Threadripper 7960X,"83,612",56
AMD EPYC 7R43,"83,535",57
AMD EPYC 7V13,"82,878",58
AMD EPYC 7713,"82,825",59
Intel Xeon w9-3575X,"82,620",60
AMD Ryzen Threadripper PRO 7965WX,"82,322",61
AMD EPYC 7R13 64-Core,"82,158",62
AMD EPYC 7663,"82,087",63
AMD EPYC 9374F,"82,009",64
AMD EPYC 7T83,"81,757",65
AMD EPYC 7713P,"81,447",66
AMD EPYC 7K23,"81,183",67
AMD Ryzen Threadripper 3990X,"80,094",68
AMD EPYC 7B13,"78,064",69
AMD EPYC 7643P,"77,307",70
AMD EPYC 7C13,"76,322",71
Intel Xeon 6740E,"76,167",72
AMD EPYC 7643,"76,050",73
AMD EPYC 9255,"75,669",74
AMD Ryzen Threadripper PRO 5975WX,"75,374",75
AMD EPYC 9354P,"75,106",76
Intel Xeon Platinum 8461V,"74,982",77
AMD EPYC 9274F,"73,982",78
Apple M3 Ultra 32 Core,"73,785",79
Intel Xeon w7-3565X,"73,318",80
AMD EPYC 9354,"72,615",81
AMD EPYC 7662,"72,298",82
AMD EPYC 8534P,"71,900",83
AMD EPYC 4585PX,"71,119",84
AMD EPYC 7V12,"70,622",85
Intel Xeon Gold 6548Y+,"70,439",86
Intel Xeon Gold 6448H,"70,292",87
AMD Ryzen 9 9950X3D,"70,235",88
AMD Ryzen Threadripper PRO 9955WX,"69,993",89
AMD EPYC 9384X,"69,665",90
AMD EPYC 7H12,"69,633",91
AMD EPYC 7573X,"69,432",92
AMD EPYC 7742,"69,140",93
AMD EPYC 7702,"68,870",94
Apple M3 Ultra 28 Core,"68,805",95
Intel Xeon Platinum 8571N,"68,385",96
Intel Core Ultra 9 285K,"67,716",97
AMD EPYC 7543P,"66,687",98
AMD EPYC 8434P,"66,490",99
AMD Ryzen Threadripper PRO 5965WX,"66,353",100
AMD EPYC 7B12,"66,044",101
AMD Ryzen 9 9950X,"66,030",102
AMD EPYC 9175F,"65,792",103
AMD EPYC 4564P,"65,403",104
Intel Xeon w7-2595X,"65,364",105
AMD EPYC 7R32,"65,331",106
Intel Xeon w9-3475X,"64,923",107
AMD EPYC 9334,"64,836",108
AMD EPYC 75F3,"64,505",109
AMD EPYC 9254,"64,086",110
AMD EPYC 4565P,"64,006",111
AMD Ryzen Threadripper 3970X,"63,104",112
AMD EPYC 7543,"62,952",113
Intel Xeon Gold 6438Y+,"62,660",114
Intel Xeon w7-3465X,"62,564",115
AMD Ryzen 9 7950X,"62,466",116
AMD Ryzen 9 7950X3D,"62,376",117
Intel Core Ultra 9 285HX,"62,351",118
Intel Xeon Platinum 8454H,"62,347",119
Intel Xeon Platinum 8380 @ 2.30GHz,"62,318",120
AMD Ryzen Threadripper PRO 3975WX,"62,230",121
AMD Ryzen 9 9955HX3D,"61,625",122
AMD EPYC 7702P,"61,539",123
Intel Xeon Gold 5520+,"61,227",124
AMD EPYC 4584PX,"60,694",125
AMD EPYC 74F3,"60,666",126
Intel Core i9-13900KS,"60,600",127
Intel Core i9-14900KS,"60,515",128
Intel Xeon Gold 6448Y,"60,449",129
Intel Xeon Gold 5512U,"60,347",130
AMD Ryzen Threadripper PRO 7955WX,"59,878",131
AMD EPYC 7K62,"59,590",132
AMD EPYC 7513,"59,331",133
AMD EPYC 7473X,"59,280",134
Intel Xeon W-3375 @ 2.50GHz,"59,091",135
Intel Xeon Gold 6542Y,"59,047",136
Intel Xeon W-3365 @ 2.70GHz,"59,038",137
Intel Core Ultra 7 265K,"58,841",138
Intel Xeon Gold 6421N,"58,797",139
AMD EPYC 7642,"58,795",140
Intel Core Ultra 7 265KF,"58,792",141
Intel Core i9-14900K,"58,658",142
Intel Core i9-13900K,"58,571",143
Intel Xeon Gold 6442Y,"58,534",144
Intel Xeon w7-3545,"58,514",145
Intel Core i9-14900KF,"58,373",146
Intel Xeon Gold 5420+,"58,209",147
Intel Xeon 6521P,"57,970",148
Intel Xeon w7-2575X,"57,924",149
AMD EPYC 9135,"57,808",150
Intel Core i9-13900KF,"57,728",151
AMD Ryzen 9 7945HX3D,"57,480",152
Ampere ARM - 192 Core 3200 MHz,"57,444",153
Intel Xeon Gold 6423N,"57,434",154
AMD EPYC 7552,"57,414",155
AMD Ryzen 9 9955HX,"57,407",156
ARM Neoverse-V2 72 Core 3465 MHz,"57,369",157
ARM Neoverse-V2 72 Core 3447 MHz,"57,299",158
ARM Neoverse-V2 72 Core 3519 MHz,"57,240",159
Intel Xeon w7-2495X,"57,240",160
Intel Xeon Gold 6414U,"57,200",161
AMD EPYC 8324P,"57,127",162
AMD EPYC 7443P,"56,981",163
AMD Ryzen Threadripper PRO 9945WX,"56,854",164
Intel Xeon Platinum 8362 @ 2.80GHz,"56,787",165
Intel Core Ultra 9 285,"56,699",166
AMD EPYC 7443,"56,686",167
ARM Neoverse-V2 96 Core 0 MHz,"56,557",168
Intel Core Ultra 9 275HX,"56,384",169
Intel Xeon Platinum 8375C @ 2.90GHz,"56,202",170
AMD Ryzen 9 9900X3D,"56,182",171
AMD EPYC 4545P,"55,377",172
Intel Xeon Gold 6530,"55,177",173
AMD Ryzen Threadripper 3960X,"54,778",174
AMD EPYC 9174F,"54,694",175
Intel Xeon w7-3455,"54,666",176
AMD Ryzen 9 9900X,"54,631",177
AMD Ryzen 9 7945HX,"54,569",178
Intel Xeon Platinum 8358 @ 2.60GHz,"54,416",179
Intel Xeon w5-3535X,"54,276",180
Intel Xeon Platinum 8360Y @ 2.40GHz,"54,078",181
AMD Ryzen 9 7940HX,"53,779",182
AMD Ryzen AI Max+ 395,"53,435",183
Intel Xeon w7-2475X,"53,299",184
Intel Xeon Gold 6438N,"52,789",185
AMD EPYC 7F72,"52,740",186
AMD Ryzen 9 8940HX,"52,460",187
Intel Core i7-14700KF,"52,426",188
Intel Core i7-14700K,"52,384",189
Intel Xeon Gold 5412U,"52,218",190
Intel Xeon w5-2565X,"51,955",191
AMD Ryzen AI Max+ Pro 395,"51,921",192
