Videocard Name,Passmark G3D Mark,Rank
GeForce RTX 5090 D,42305,1
GeForce RTX 5090,39490,2
GeForce RTX 4090,38191,3
GeForce RTX 5080,36545,4
GeForce RTX 4080,34445,5
GeForce RTX 4080 SUPER,34256,6
GeForce RTX 5070 Ti,32987,7
GeForce RTX 4090 D,32259,8
GeForce RTX 4070 Ti SUPER,31819,9
RTX PRO 6000 Blackwell Max-Q Workstation Edition,31615,10
GeForce RTX 4070 Ti,31614,11
RTX PRO 6000 Blackwell Workstation Edition,31366,12
Radeon RX 7900 XTX,31238,13
RTX 5000 Ada Generation,30629,14
RTX PRO 4000 Blackwell Generation Laptop GPU,30028,15
GeForce RTX 4070 SUPER,29997,16
GeForce RTX 5090 Laptop GPU,29759,17
GeForce RTX 3090 Ti,29445,18
RTX PRO 4500 Blackwell,29271,19
GeForce RTX 5070,29122,20
Radeon RX 7900 XT,29030,21
RTX 6000 Ada Generation,28706,22
RTX PRO 3000 Blackwell Generation Laptop GPU,28506,23
RTX PRO 5000 Blackwell Generation Laptop GPU,28467,24
Radeon PRO W7900,28261,25
Radeon RX 6950 XT,28059,26
GeForce RTX 5080 Laptop GPU,27580,27
RTX 4500 Ada Generation,27443,28
GeForce RTX 4090 Laptop GPU,27230,29
Radeon RX 7900 GRE,27094,30
GeForce RTX 4070,26922,31
Radeon PRO W7800,26898,32
GeForce RTX 3080 Ti,26896,33
Radeon RX 9070 XT,26814,34
Radeon RX 6900 XT,26729,35
GeForce RTX 3090,26639,36
GeForce RTX 3080 12GB,26555,37
Radeon RX 9070,25398,38
RTX 3500 Ada Generation Embedded GPU,25188,39
RTX 5880 Ada Generation,25095,40
GeForce RTX 3080,25086,41
Radeon RX 6800 XT,24977,42
GeForce RTX 4080 Laptop GPU,24923,43
Radeon RX 7800 XT,24168,44
RTX 4000 Ada Generation,24115,45
GeForce RTX 5070 Ti Laptop GPU,23912,46
RTX 5000 Ada Generation Laptop GPU,23565,47
GeForce RTX 3070 Ti,23353,48
Radeon PRO W7700,23154,49
GeForce RTX 5060 Ti 16GB,22877,50
Videocard Name,"Passmark G3D Mark
(higher is better)","Rank
(lower is better)"
GeForce RTX 4060 Ti 16GB,22739,51
Radeon RX 9070 GRE,22713,52
Racer-Tech USB Display Device,22705,53
GeForce RTX 4060 Ti,22696,54
GeForce RTX 5060 Ti 8GB,22634,55
Radeon RX 7900M,22627,56
RTX A5000,22604,57
RTX A6000,22588,58
Radeon RX 7700 XT,22510,59
GeForce RTX 3070,22210,60
NVIDIA A10,22064,61
RTX 4000 Ada Generation Laptop GPU,22062,62
Radeon RX 6800,22058,63
GRID RTX6000-6Q,21986,64
Meta Virtual Monitor,21584,65
GeForce RTX 2080 Ti,21541,66
RTX A4500,21251,67
RTX A5500,21180,68
Virtual Desktop Monitor,20961,69
GeForce RTX 5060,20763,70
Radeon RX 6750 XT,20700,71
TITAN RTX,20491,72
GeForce RTX 5070 Laptop GPU,20452,73
RTX 4000 SFF Ada Generation,20407,74
GeForce RTX 3060 Ti,20342,75
RTX 5000 Ada Generation Embedded GPU,20311,76
Radeon RX 9060 XT 8GB,20242,77
Radeon RX 6750 GRE 12GB,20169,78
Radeon RX 9060 XT 16GB,20125,79
Radeon PRO W6800,20050,80
L40S,20022,81
TITAN V,19804,82
Quadro RTX 8000,19798,83
Radeon RX 6700 XT,19785,84
RTX 3500 Ada Generation Laptop GPU,19728,85
GeForce RTX 4070 Laptop GPU,19583,86
GeForce RTX 4060,19541,87
GeForce RTX 2080 SUPER,19485,88
Quadro GV100,19456,89
RTX A4000,19455,90
GeForce RTX 3080 Ti Laptop GPU,19250,91
Radeon RX 6700,18913,92
SudoMaker Virtual Display Adapter,18779,93
NVIDIA TITAN Xp,18775,94
GeForce RTX 2080,18710,95
TITAN Xp COLLECTORS EDITION,18695,96
GeForce GTX 1080 Ti,18596,97
Radeon RX 6750 GRE 10GB,18519,98
GeForce RTX 5060 Laptop GPU,18225,99
Videocard Name,"Passmark G3D Mark
(higher is better)","Rank
(lower is better)"
Quadro RTX 6000,18207,100
GeForce RTX 2070 SUPER,18162,101
GeForce RTX 3070 Ti Laptop GPU,17716,102
Radeon 8060S,17677,103
NVIDIA A10G,17660,104
GeForce RTX 5050,17549,105
GeForce RTX 4060 Laptop GPU,17449,106
Radeon RX 6850M XT,17334,107
RTX A5500 Laptop GPU,17278,108
Radeon RX 6650 XT,17167,109
RTX 2000 Ada Generation,17148,110
Radeon RX 7600 XT,17127,111
Radeon RX 6650M XT,17070,112
EIZO Quadro MED-XN92,17035,113
TITAN V CEO Edition,16987,114
GeForce RTX 3060,16981,115
GeForce RTX 3060 12GB,16807,116
RTX PRO 2000 Blackwell Generation Laptop GPU,16706,117
Radeon RX 7600,16638,118
GeForce RTX 5050 Laptop GPU,16584,120
RTX A4500 Laptop GPU,16584,119
Radeon RX 5700 XT 50th Anniversary,16468,121
GeForce RTX 2060 SUPER,16461,123
Radeon RX 6600 XT,16461,122
Radeon PRO W7600,16393,124
Radeon VII,16360,125
GeForce RTX 3080 Laptop GPU,16318,126
Radeon RX 7800M,16291,127
Radeon RX 5700 XT,16266,128
Parsec Virtual Display Adapter,16098,129
GeForce RTX 2070,16096,130
Radeon 8050S,16051,131
GeForce RTX 2060 12GB,15931,132
Radeon RX 6800S,15929,133
Radeon RX 7650 GRE,15824,134
RTX A5000 Laptop GPU,15810,135
Intel Arc B580,15781,136
RTX 3000 Ada Generation Laptop GPU,15754,137
Radeon Pro V620 MxGPU,15632,138
Radeon RX 7700S,15631,139
Radeon Pro Vega II,15596,140
Quadro RTX 5000,15590,141
GeForce GTX 1080,15584,142
RTX 2000 Ada Generation Embedded GPU,15505,143
Quadro P6000,15427,144
GeForce RTX 3070 Laptop GPU,15302,145
Radeon RX 7600S,15276,146
GeForce RTX 3060 8GB,15225,147
USB Mobile Monitor Virtual Display,15222,148
Videocard Name,"Passmark G3D Mark
(higher is better)","Rank
(lower is better)"
RTX PRO 1000 Blackwell Generation Laptop GPU,15209,149
RTX 2000 Ada Generation Laptop GPU,15143,150
Quadro RTX 4000,15112,151
Radeon PRO W6600,15096,152
Radeon RX 6700S,15091,153
Radeon RX 6600,15089,154
Radeon RX 6650M,15064,155
GeForce RTX 2080 (Mobile),15013,156
Quadro GP100,14911,157
Quadro RTX 5000 (Mobile),14832,158
RTX A4000 Laptop GPU,14763,159
GeForce GTX 1070 Ti,14681,160
RadeonT RX 6850M XT,14609,161
Radeon Pro W5700,14519,162
GeForce RTX 4050 Laptop GPU,14412,163
RTX 2000E Ada Generation,14370,164
RTX PRO 2000 Blackwell,14363,165
Radeon RX 5700,14316,166
Intel Arc B570,14184,167
Radeon RX 7600M XT,14137,168
GeForce RTX 2060,14115,169
Radeon RX Vega 64,14032,170
Radeon Pro Vega II Duo,14018,171
Radeon RX 6600M,13945,172
NVIDIA A40,13900,173
RTX A3000 12GB Laptop GPU,13749,174
